"09/06/2024","-32224.00","*","1012","CHECK # 1012"
"09/06/2024","-9368.89","*","","BUSINESS TO BUSINESS ACH Lument7313 ACH 490011466"
"09/03/2024","-1500.00","*","","RECURRING TRANSFER TO JPMORGAN CHASE BANK, NA CHK XXXXX8616 N. GUPTA REF #FP0PF28CZK TRULO MONTHLY PM FEE MIDWAY INN"
"08/30/2024","920.00","*","","Instant Pmt from ONEPLUS REALTY GROUP LLC on 08/30 Ref#20240830021000021P1BRJPC03760121683"
"08/30/2024","16702.38","*","","OnePlus Realty G SIGONFILE 083024 5CCJP2 Midway Inn LLC"
"08/14/2024","250.00","*","","Instant Pmt from ONEPLUS REALTY GROUP LLC on 08/14 Ref#20240814021000021P1BRJPC00500037215"
"08/13/2024","-83.29","*","","RECURRING PAYMENT AUTHORIZED ON 08/12 Spectrum 855-707-7328 MO S464225547250464 CARD 4162"
"08/06/2024","-9368.89","*","","BUSINESS TO BUSINESS ACH Lument7313 ACH 490011466"
"08/01/2024","-1500.00","*","","RECURRING TRANSFER TO JPMORGAN CHASE BANK, NA CHK XXXXX8616 N. GUPTA REF #FP0P2VK6BX TRULO MONTHLY PM FEE MIDWAY INN"
"07/30/2024","-204.42","*","","RECURRING PAYMENT AUTHORIZED ON 07/29 DNH*GODADDY#321752 480-5058855 AZ S304211626202408 CARD 4162"
"07/30/2024","17028.44","*","","Instant Pmt from ONEPLUS REALTY GROUP LLC on 07/30 Ref#20240730021000021P1BRJPC00520076928"
"07/23/2024","-800.00","*","1011","CHECK # 1011"
"07/22/2024","-136.07","*","","WF Bus Credit AUTO PAY 240721 90469914333885 GUPTA,NEERAJ"
"07/22/2024","800.00","*","","Instant Pmt from ONEPLUS REALTY GROUP LLC on 07/21 Ref#20240721021000021P1BRJPC00510064841"
"07/15/2024","-22.17","*","","RECURRING PAYMENT AUTHORIZED ON 07/14 DNH*GODADDY#318938 480-5058855 AZ S584196656484877 CARD 4162"
"07/15/2024","-77.28","*","","RECURRING PAYMENT AUTHORIZED ON 07/12 Spectrum 855-707-7328 MO S584194554099969 CARD 4162"
"07/11/2024","-956.20","*","","BUSINESS TO BUSINESS ACH CITY OFARLINGTON UTILITYIVR 240710 5743289 MIDWAY INN *LLC"
"07/08/2024","-9212.30","*","","BUSINESS TO BUSINESS ACH Lument7313 ACH 490011466"
"07/08/2024","-11.63","*","","PURCHASE AUTHORIZED ON 07/06 Mobimatter Abu Dhabi ARE S464188635540782 CARD 4162"
"07/01/2024","-1500.00","*","","RECURRING TRANSFER TO JPMORGAN CHASE BANK, NA CHK XXXXX8616 N. GUPTA REF #FP0NQ5FSZ3 TRULO MONTHLY PM FEE MIDWAY INN"
"06/20/2024","-804.95","*","","WF Bus Credit AUTO PAY 240620 90469914333885 GUPTA,NEERAJ"
"06/14/2024","28291.43","*","","OnePlus Realty G SIGONFILE 061424 YFDXJ2 Midway Inn LLC"
"06/13/2024","-246.00","*","","ONLINE TRANSFER TO GUPTA N REF #IB0NJHQSPH EVERYDAY CHECKING MIDWAY REFRGTR PURCHASE LOWES CRD KODIAK"
"06/13/2024","-77.28","*","","RECURRING PAYMENT AUTHORIZED ON 06/12 Spectrum 855-707-7328 MO S584164550672936 CARD 4162"
"06/11/2024","-760.80","*","","BUSINESS TO BUSINESS ACH CITY OFARLINGTON UTILITYIVR 240610 6060306 MIDWAY INN *LLC"
"06/10/2024","-4001.00","*","","ONLINE TRANSFER TO GUPTA N REF #IB0NHL3HPN EVERYDAY CHECKING MIDWAY EXPENSES MAY THRU ONEPLUS PM"
